Team,Championships,Percentage
New York Yankees,27,22.5
St. Louis Cardinals,11,9.17
Boston Red Sox,8,6.67
Los Angeles Dodgers,7,5.83
Pittsburgh Pirates,5,4.17
Cincinnati Reds,5,4.17
Philadelphia Athletics,5,4.17
New York Giants,5,4.17
Oakland Athletics,4,3.33
Detroit Tigers,4,3.33
Chicago Cubs,3,2.5
Chicago White Sox,3,2.5
San Francisco Giants,3,2.5
Baltimore Orioles,3,2.5
Cleveland Indians,2,1.67
Philadelphia Phillies,2,1.67
Toronto Blue Jays,2,1.67
Atlanta Braves,2,1.67
Houston Astros,2,1.67
Florida Marlins,2,1.67
Minnesota Twins,2,1.67
Kansas City Royals,2,1.67
New York Mets,2,1.67
Boston Americans,1,0.83
Milwaukee Braves,1,0.83
Brooklyn Dodgers,1,0.83
Washington Senators,1,0.83
Boston Braves,1,0.83
Anaheim Angels,1,0.83
Arizona Diamondbacks,1,0.83
Washington Nationals,1,0.83
Texas Rangers,1,0.83
